Okina,Dual Daggers,,40,2,18,20,200,80,160,0.05,2,0.15,5,Madurai Pol,Vazarin Pol,
Orthos,Polearms,,50,7.5,7.5,35,111,100,83,0.05,1.5,0.15,2,,Naramon Pol,Blast Damage on Jump Attack
Orthos Prime,Polearms,,65.1,9.8,9.8,45.5,144,130,108,0.1,2,0.15,2,,Zenurik Pol,Blast Damage on Jump Attack
Pangolin Sword,Swords,,37.1,1.9,5.6,29.6,79,74,148,0.05,1.5,0.12,2,Madurai Pol,Madurai Pol,
Plasma Sword,Swords,Electricity,35,0,0,0,75,70,140,0.15,2,0.15,0,,Unairu Pol,
Prova,Machetes,Electricity,35,0,0,0,105,70,140,0.05,1.5,0.1,3,,Zenurik Pol,One of the highest Damage Reduction in game with 85%
Prova Vandal,Machetes,Electricity,48,0,0,0,144,96,192,0.05,1.5,0.2,0,,Zenurik Pol,One of the highest Damage Reduction in game with 85%
Reaper Prime,Scythes,,75.1,11.3,11.3,52.5,150,150,150,0.2,2,0.12,2,Naramon Pol,Naramon Pol,
Redeemer,Gunblade,,60,6,12,42,180,120,240,0.05,1.5,0.1,0,,Madurai Pol,Charged attacks shoot 10 pellets with 75 damage for each pellet - making a total damage of 750; Silent Attack
Ripkas,Claws,,55.1,2.8,5.5,46.8,165,110,165,0.2,2,0.15,3,Madurai Pol,Madurai Pol,
Scindo,Heavy Blade,,100,10,10,80,200,200,200,0.15,1.5,0.1,2,,Madurai Pol,With the Manticore Skin: Damage +15% & Swing Speed -15%
Scindo Prime,Heavy Blade,,130,13,13,104,260,260,260,0.2,2,0.15,4,Madurai Pol,Madurai Pol,With the Manticore Skin: Damage +15% & Swing Speed -15%
Scoliac,Whips,,55.1,8.3,8.3,38.5,118,110,220,0.05,1.5,0.15,6,Madurai Pol,Zenurik Pol,Toxin Damage on Jump Attack
Serro,Polearms,Electricity,75,0,0,0,167,150,125,0.05,1.5,0.25,2,Madurai Pol,Naramon Pol,Chance of Blast Proc on Jump Attacks
Shaku,Nunchaku,,55,55,0,0,118,110,220,0.075,2,0.25,0,,Vazarin Pol,
Sheev,Daggers,,45,2.25,2.25,40.5,96,90,135,0.05,2,0.25,0,Naramon Pol,Madurai Pol,Will inflict Heat Proc on surrounding enemies with jump attacks regardless of elemental mods added.
Sibear,Hammers,,130,0,0,0,260,260,260,0.15,2,0.1,6,Vazarin Pol,Madurai Pol,
Silva & Aegis,Sword and Shield,Heat,35,0,0,0,75,70,140,0.05,1.5,0.2,0,,Madurai Pol,One of the highest Damage Reduction in game with 85%
Skana,Swords,,35.1,5.3,5.3,24.5,75,70,140,0.05,1.5,0.1,0,,Madurai Pol,
Skana Prime,Swords,,42,6.3,6.3,29.4,90,84,168,0.05,1.5,0.1,0,Madurai Pol; Naramon Pol,Madurai Pol,
Skana (Prisma),Swords,,35,5.3,5.3,24.5,75,70,140,0.2,2,0.1,0,,Madurai Pol,
Sydon,Polearms,,75.1,3.8,71.3,0,167,150,125,0.1,2,0.25,2,,Zenurik Pol,
Tekko,Fists,,45,9,4.5,31.5,135,90,135,0.3,2,0.1,2,Madurai Pol,Vazarin Pol,
Tipedo,Staves,,50,5,5,40,107,100,83,0.2,2,0.2,3,Vazarin Pol,Unairu Pol,
Tonbo,Polearms,,80,8,12,60,178,160,133,0.05,2,0.25,3,Madurai Pol,Zenurik Pol,Chance to inflict Blast Proc on Slam Attack
Twin Basolk,Dual Swords,Heat,45,0,0,0,270,90,180,0.05,2,0.25,3,Madurai Pol,Zenurik Pol,
Venka,Claws,,37.1,1.9,9.3,25.9,111,74,111,0.15,2,0.15,3,,Madurai Pol,
War,Heavy Blade,,140,112,3.5,24.5,280,280,280,0.2,2,0.2,10,Naramon Pol,Vazarin Pol,
